id,status,description,lat,lng,created_at,acknowledged_at,closed_at,url,request_type_id,summary,reporter_id
4764238,Archived,"people park entirely too close to tge stop sign and fire hydrants in Boston Edison...especially on Longfellow going toward Linwood.  Parking enforcement really needs to monitor this area.",42.3767291,-83.1073352,1533577133000,1533647559000,1536078033000,"https://seeclickfix.com/api/v2/issues/4764238",22880,"Traffic Complaints",0
4779288,Archived,"speeding down residential streets",42.4284823,-82.9522534,1533860484000,1533900543000,1535551094000,"https://seeclickfix.com/api/v2/issues/4779288",22880,"Traffic Complaints",1373530
4785692,Archived,"A few weeks ago, we had a man have a major motorcycle accident on our block that left him paralyzed, as far as we've heard.  A few nights later, our neighbors dog was killed by a hit and run car.  There are many children and elderly on this block, and the block between Sylvester and Canfield, and signage/speed bumps/making the street one-way might be helpful.",42.37118543094666,-83.00154450218562,1534023748000,1534187515000,1535551427000,"https://seeclickfix.com/api/v2/issues/4785692",22880,"Traffic Complaints",1585721
4786646,Archived,"parking of a commercial tow vehicle on residential street. Company name Valcan group. plate # BA69284",42.3929443359375,-82.92998504638672,1534083337000,1536157965000,1536676327000,"https://seeclickfix.com/api/v2/issues/4786646",22880,"Traffic Complaints",0
4789248,Archived,"speeding cars also doing spin outs in intersection also on Duprey and casino",42.422249,-82.934927,1534172861000,1534189775000,1539179018000,"https://seeclickfix.com/api/v2/issues/4789248",22880,"Traffic Complaints",0
4800960,Archived,"Being that there is no stop sign at the corner of Bramell & Majestic, these morons love to speed down Bramell. There are several families with young children that live within the first two blocks.",42.343040466308594,-83.26134490966797,1534367223000,1534432840000,1536071556000,"https://seeclickfix.com/api/v2/issues/4800960",22880,"Traffic Complaints",0
4820497,Archived,"IN FRONT OF 6000 GABLE STREET THERE ARE TWO VEHICLE PARKING THE WRONG WAY ON THE STREET EVERYDAY MAKING OTHER CARS THINK IT IS OK TO COME THE STREET. WE HAVE ALOT OF KIDS THAT STAY IN THE AREA.",42.410418,-83.04159099999998,1534859354000,1534870955000,1536258285000,"https://seeclickfix.com/api/v2/issues/4820497",22880,"Traffic Complaints",0
4829199,Archived,"Despite a sign that says “YMCA only,” Farmer St. is often blocked by construction vehicles. Parents need to drop their kids off at the Y and when John R. is also blocked, there’s no alternate route into the parking lot. Workers have not been polite about blocking the road when they could adjust their own vehicles to keep the road clear.",42.3346817758738,-83.04818266819267,1535034389000,1535121921000,1536841403000,"https://seeclickfix.com/api/v2/issues/4829199",22880,"Traffic Complaints",1589814
4832598,Archived,"As of 06:50am on 8/24/18, there is a large banner attached to the Holden St pedestrian bridge and hanging above the SB lanes of M-10.  It should be removed before it falls on somebody's car.",42.36283576529202,-83.07878778219293,1535112184000,1535383477000,1535383488000,"https://seeclickfix.com/api/v2/issues/4832598",22880,"Traffic Complaints",1576770
4834999,Archived,"Cars are speeding the down the street and kids are illegally playing on a basketball hoop in the middle of the street.",42.437643,-83.06704000000002,1535154807000,1535365759000,1536863724000,"https://seeclickfix.com/api/v2/issues/4834999",22880,"Traffic Complaints",1321892
4839878,Archived,"Drag Racing on Schaefer Highway",42.3978665,-83.1781384,1535351708000,1535365836000,1536344951000,"https://seeclickfix.com/api/v2/issues/4839878",22880,"Traffic Complaints",0
4839907,Archived,"Drag Racing on Schaefer Highway",42.3978682,-83.1781071,1535352726000,1535365901000,1536345098000,"https://seeclickfix.com/api/v2/issues/4839907",22880,"Traffic Complaints",1591135
4840785,Archived,"There are about 15 kids on our block and because of the width of the street cars speed up and down the street constantly",42.393658,-83.187154,1535380289000,1535452106000,1536345431000,"https://seeclickfix.com/api/v2/issues/4840785",22880,"Traffic Complaints",1591222
4843233,Archived,"Illegal racing up and down the street all day every day and night with mini bikes . A real nuisance for all the neighbors. Sick of this abuse!!!",42.339231,-83.2081202,1535413584000,1535560741000,1536675378000,"https://seeclickfix.com/api/v2/issues/4843233",22880,"Post to Neighbors",0
4850034,Archived,"Used car lots Livernois and Michigan area has a used car lot on every corner from Cloverlawn north of joy road-- is this allowed?.......................................................................................(Sec. 38-1-6. - Engaging in business of parking of automobiles on public property.It shall be unlawful for any person, either by himself or another, to engage in the business of parking of automobiles or reserving space for the parking of automobiles upon any public highway or public place in the city for remuneration, by tips or otherwise, nor shall any person solicit the business of parking automobiles or reserving space for the parking of automobiles upon any highway or public space in the city.(Code 1964, § 39-1-43)",42.3601245,-83.15101859999999,1535551886000,1535626486000,1536675475000,"https://seeclickfix.com/api/v2/issues/4850034",22880,"Car lot owner using street as a parking lot",1592118
4850796,Archived,"This block is a drag strip. Please patrol.",42.3737295,-82.94558710000001,1535560843000,1535626419000,1538047674000,"https://seeclickfix.com/api/v2/issues/4850796",22880,"Traffic Complaints",0
4857025,Archived,"One of our new neighbors is blocking the street in front of his house with parking cones. Blocking other civilians to park in front of 1991 Morrell st Detroit Mi 48209. Is this legal?",42.319631,-83.10109299999999,1535673371000,1535721716000,1535722159000,"https://seeclickfix.com/api/v2/issues/4857025",22880,"Parking cones blocking parking for other neighbors ",0
4857972,Archived,"There has been drag racing occurring on Schaefer Highway for the past few weeks and hasn't let up here. I've called DPD about it, but the racing continues. It occurs from 10 pm to 3 am.",42.3988229,-83.178676,1535696703000,1535710151000,1538507318000,"https://seeclickfix.com/api/v2/issues/4857972",22880,"Drag Racing on Schaefer Highway ",1591135
4883729,Archived,"Passed on shoulder",42.43914662962554,-83.01595971822809,1536335961000,,1536585770000,"https://seeclickfix.com/api/v2/issues/4883729",22880,"Traffic Complaints",0
4884014,Archived,"Noted above.",42.424112,-83.108001,1536339712000,1536584997000,1537892919000,"https://seeclickfix.com/api/v2/issues/4884014",22880,"Traffic Complaints",0
4884628,Archived,,42.441173559163055,-83.02419946432184,1536348492000,,1536585844000,"https://seeclickfix.com/api/v2/issues/4884628",22880,"Traffic Complaints",0
4885125,Archived,"Residental area. Cars speed up and down this street without regard for the children or residents",42.430759,-83.2459437,1536359474000,1536584887000,1537880842000,"https://seeclickfix.com/api/v2/issues/4885125",22880,"Traffic Complaints",1563767
4887826,Archived,"School is back in and DPS Nicholas, waldorf school, Detroit Prep and Ceaser Chavez brings a lot of children across Mack on Burns in the morning and after school lets out. Parents and neighbors have already seen several dangerous situations with children crossing the busy Mack street to get to school. No cross walk, no lights no cross guards and crazy drivers! Block club meetings are already taking about the dangerous situation. Can we have NPO or the DEtroit public schools get a cross walk guard to get our kids to school safely.",42.368970246700954,-83.00029408995404,1536448936000,1536585068000,1537975881000,"https://seeclickfix.com/api/v2/issues/4887826",22880,"Traffic Complaints",1404092
4887886,Archived,"Illegal parking not being enforced on Temple St, west of Woodward Ave, east of Park St.",42.34292526091958,-83.05530105410041,1536451328000,1536584962000,1538486472000,"https://seeclickfix.com/api/v2/issues/4887886",22880,"Traffic Complaints",0
4887949,Archived,,42.3576434,-83.2310622,1536454388000,1536584932000,1537893028000,"https://seeclickfix.com/api/v2/issues/4887949",22880,"Traffic Complaints guys are blocking street loud music drinking",1594660
4892635,Archived,"We have a lot of cars speeding down the street doing 50-70 Miles per hour down a residential area we have children in our area and schools kids who wait for the schoolbus How can we get speed bumps put on our street and have police officers set up speed traps when this was done earlier in the year it helped",42.41222171582506,-82.93298173703522,1536605065000,1536666170000,1537976063000,"https://seeclickfix.com/api/v2/issues/4892635",22880,"Traffic Complaints",0
4892745,Archived,"Improper passing (on right shoulder)",42.39276271248416,-82.9825715804107,1536606414000,1536676824000,1536676874000,"https://seeclickfix.com/api/v2/issues/4892745",22880,"Traffic Complaints",0
4892759,Archived,"Improper passing (right shoulder)",42.4049252,-82.99748999999997,1536606580000,1536676750000,1536676800000,"https://seeclickfix.com/api/v2/issues/4892759",22880,"Traffic Complaints",0
4900098,Archived,"This morning at 7:05, four large double dump trucks drove up our street. Trucks that size aren’t allowed on our street. It causes street damage and disturbs the neighborhood.",42.324105,-83.07759716666666,1536750678000,1536791807000,1560173565000,"https://seeclickfix.com/api/v2/issues/4900098",22880,"Traffic Complaints",0
4901410,Archived,"Truck parked / driving in bike lane and sidewalk",42.36890883259287,-83.07423572307829,1536769537000,,1536841656000,"https://seeclickfix.com/api/v2/issues/4901410",22880,"Traffic Complaints",1059260
4904684,Archived,"There are too many cars speeding,drag racing and joyriding in this neighborhood, especially through the residential streets,and the side streets (like Lawton). The City needs to either have the police writing tickets,or they should put down ""slow down bumps"" at the stop signs. This has to stop before somebody's child is injured or killed on the way to and from school.",42.387026474771886,-83.12138512730598,1536839391000,1536845197000,1537880712000,"https://seeclickfix.com/api/v2/issues/4904684",22880,"Traffic Complaints",0
4907354,Archived,"Drivers drive recklessly though the four way stop on Ashton and Puritan. Speed bumps were just installed a few blocks up on Rosemont and Puritan. We need speed bumps at the intersection of Puritan and Southfield and Puritan and Ashton Road to stop people from coming into our neighborhood, flying though he stop sign at high speeds causing accidents and possible death of pedestrians. Can additional speed bumps be placed at the corner of both intersections? We need help or I’m going to be forced to sell my home due to the high traffic and safety concerns regarding moterist driving through North Rosedale at High speeds.",42.408161,-83.21924000000001,1536878714000,1536929011000,1537880784000,"https://seeclickfix.com/api/v2/issues/4907354",22880,"Need Speed Bump installed ",1507224
4910732,Archived,"Every day at 3 cars drive in the bike lane",42.36799440845481,-83.07391837552879,1536952038000,1537190442000,1539956993000,"https://seeclickfix.com/api/v2/issues/4910732",22880,"Traffic Complaints",1059260
4910743,Archived,"Car driving in bike lane",42.367911457144324,-83.07372667835679,1536952154000,1537187379000,1537187469000,"https://seeclickfix.com/api/v2/issues/4910743",22880,"Traffic Complaints",1059260
4911606,Archived,"The Alley behind the Hardware store on Grand River between Kentford & Gladstonbury is always blocked by a truck and repairs",42.40226143168638,-83.22197316967257,1536974179000,1537190494000,1539882456000,"https://seeclickfix.com/api/v2/issues/4911606",22880,"Traffic Complaints",1334183
